oracion_español,oracion_transformada_lse
Yo no limpio el escritorio.,YO ESCRITORIO LIMPIAR NO
Ella no toca el piano.,ELLA PIANO TOCAR NO
Ellos no cocinan juntos.,ELLOS JUNTOS COCINAR NO
Nosotros no reímos mucho.,NOSOTROS MUCHO REÍR NO
Mi madre no plancha ropa.,MI MADRE ROPA PLANCHAR NO
El perro no muerde.,PERRO MORDER NO
Tú no lees novelas.,TÚ NOVELAS LEER NO
Yo no escucho la radio.,YO RADIO ESCUCHAR NO
Ella no estudia medicina.,ELLA MEDICINA ESTUDIAR NO
Ellos no llegan tarde.,ELLOS TARDE LLEGAR NO
Nosotros no hablamos de política.,NOSOTROS POLÍTICA HABLAR NO
Mi padre no trabaja los lunes.,LUNES MI PADRE TRABAJAR NO
Tú no cocinas arroz.,TÚ ARROZ COCINAR NO
Yo no leo cuentos.,YO CUENTOS LEER NO
Ella no enseña en esa escuela.,ELLA ESCUELA ESA ENSEÑAR NO
Ellos no viven aquí.,ELLOS AQUÍ VIVIR NO
Nosotros no tenemos coche.,NOSOTROS COCHE NO HAY
El gato no juega hoy.,HOY GATO JUGAR NO
Tú no dibujas flores.,TÚ FLORES DIBUJAR NO
Yo no preparo café.,YO CAFÉ PREPARAR NO
Ella no canta bien.,ELLA BIEN CANTAR NO
Ellos no entienden español.,ELLOS ESPAÑOL ENTENDER NO
Nosotros no comemos pan.,NOSOTROS PAN COMER NO
El tren no pasa por el pueblo.,TREN PUEBLO PASAR NO
Tú no viajas en metro.,TÚ METRO VIAJAR NO
Yo no escribo poesía.,YO POESÍA ESCRIBIR NO
Ella no corre.,ELLA CORRER NO
Ellos no limpian la cocina.,ELLOS COCINA LIMPIAR NO
Nosotros no abrimos los domingos.,DOMINGOS NOSOTROS ABRIR NO
Mi padre no compra frutas.,MI PADRE FRUTAS COMPRAR NO
El perro no duerme adentro.,PERRO ADENTRO DORMIR NO
Tú no ves televisión.,TÚ TELEVISIÓN VER NO
Yo no estudio inglés.,YO INGLÉS ESTUDIAR NO
Ella no cocina bien.,ELLA BIEN COCINAR NO
Ellos no viven cerca.,ELLOS CERCA VIVIR NO
Nosotros no estudiamos hoy.,HOY NOSOTROS ESTUDIAR NO
Mi madre no mira noticias.,MI MADRE NOTICIAS MIRAR NO
El gato no come pescado.,GATO PESCADO COMER NO
Tú no ayudas en la cocina.,TÚ COCINA AYUDAR NO
Yo no leo libros largos.,YO LIBROS LARGOS LEER NO
Ella no camina sola.,ELLA SOLA CAMINAR NO
Ellos no van a la iglesia.,ELLOS IGLESIA IR NO
Nosotros no usamos paraguas.,NOSOTROS PARAGUAS USAR NO
Mi padre no come carne.,MI PADRE CARNE COMER NO
El tren no llega temprano.,TREN TEMPRANO LLEGAR NO
Tú no hablas mucho.,TÚ MUCHO HABLAR NO
Yo no preparo postres.,YO POSTRES PREPARAR NO
Ella no enseña los lunes.,ELLA LUNES ENSEÑAR NO
Ellos no corren rápido.,ELLOS RÁPIDO CORRER NO
Nosotros no dormimos la siesta.,NOSOTROS SIESTA DORMIR NO
El perro no juega afuera.,PERRO AFUERA JUGAR NO
Tú no conduces por la noche.,TÚ NOCHE CONDUCIR NO
Yo no miro televisión.,YO TELEVISIÓN MIRAR NO
Ella no canta en casa.,ELLA CASA CANTAR NO
Ellos no leen el periódico.,ELLOS PERIÓDICO LEER NO
Hoy no estudio matemáticas.,HOY MATEMÁTICAS ESTUDIAR NO
Ayer no llovió nada.,PASADO AYER NADA LLOVER NO
Mañana no trabajo.,FUTURO MAÑANA TRABAJAR NO
El lunes no tenemos clase.,LUNES NOSOTROS CLASE HAY NO
Esta semana no voy al gimnasio.,FUTURO ESTA SEMANA YO GIMNASIO IR NO
Cada domingo no abrimos la tienda.,CADA DOMINGO NOSOTROS TIENDA ABRIR NO
Hoy no cocino arroz.,HOY ARROZ COCINAR NO
Ayer no vi a María.,PASADO AYER YO MARÍA VER NO
Mañana no lavo el coche.,FUTURO MAÑANA YO COCHE LAVAR NO
El martes no salgo de casa.,MARTES YO CASA SALIR NO
Hoy no leo el periódico.,HOY YO PERIÓDICO LEER NO
Ayer no comí pan.,PASADO AYER YO PAN COMER NO
Mañana no estudio inglés.,FUTURO MAÑANA YO INGLÉS ESTUDIAR NO
El jueves no trabajo.,JUEVES YO TRABAJAR NO
Cada tarde no tomo café.,CADA TARDE YO CAFÉ TOMAR NO
Hoy no hace frío.,HOY FRÍO HACER NO
Ayer no cociné nada.,PASADO AYER YO NADA COCINAR NO
Mañana no voy al mercado.,FUTURO MAÑANA YO MERCADO IR NO
El viernes no trabajo.,VIERNES YO TRABAJAR NO
Cada noche no veo televisión.,CADA NOCHE YO TELEVISIÓN VER NO
Hoy no desayuno.,HOY YO DESAYUNAR NO
Ayer no dormí bien.,PASADO AYER YO BIEN DORMIR NO
Mañana no limpio la casa.,FUTURO MAÑANA YO CASA LIMPIAR NO
El sábado no viajo.,SÁBADO YO VIAJAR NO
Cada día no uso coche.,CADA DÍA YO COCHE USAR NO
Hoy no escribo cartas.,HOY YO CARTAS ESCRIBIR NO
Ayer no estudié nada.,AYER YO NADA ESTUDIAR NO
Mañana no preparo la cena.,MAÑANA YO CENA PREPARAR NO
El domingo no abrimos.,DOMINGO NOSOTROS ABRIR NO
Cada mañana no desayuno pan.,CADA MAÑANA YO PAN DESAYUNAR NO
Hoy no arreglo la lámpara.,HOY YO LÁMPARA ARREGLAR NO
Ayer no descansé.,AYER YO DESCANSAR NO
Mañana no hago deporte.,MAÑANA YO DEPORTE HACER NO
El miércoles no tengo reunión.,MIÉRCOLES YO REUNIÓN NO HAY
Cada sábado no paseo.,CADA SÁBADO YO PASEAR NO
Hoy no cocino sopa.,HOY YO SOPA COCINAR NO
Ayer no salí a correr.,AYER YO CORRER SALIR NO
Mañana no estudio biología.,MAÑANA YO BIOLOGÍA ESTUDIAR NO
El jueves no trabajamos.,JUEVES NOSOTROS TRABAJAR NO
Cada noche no leo novelas.,CADA NOCHE YO NOVELAS LEER NO
Hoy no escribo correos.,HOY YO CORREOS ESCRIBIR NO
Ayer no estudié química.,AYER YO QUÍMICA ESTUDIAR NO
Mañana no limpio el baño.,MAÑANA YO BAÑO LIMPIAR NO
El martes no trabajo.,MARTES YO TRABAJAR NO
Cada mañana no desayuno fruta.,CADA MAÑANA YO FRUTA DESAYUNAR NO
Hoy no veo películas.,HOY YO PELÍCULAS VER NO
Ayer no fui a clase.,AYER YO CLASE IR NO
Mañana no leo poesía.,MAÑANA YO POESÍA LEER NO
El domingo no como fuera.,DOMINGO YO FUERA COMER NO
Esta noche no ceno.,ESTA NOCHE YO CENAR NO
Hoy no preparo comida.,HOY YO COMIDA PREPARAR NO
Ayer no hice deporte.,AYER YO DEPORTE HACER NO
Mañana no cocino postres.,MAÑANA YO POSTRES COCINAR NO
El viernes no conduzco.,VIERNES YO CONDUCIR NO
Cada tarde no paseo.,CADA TARDE YO PASEAR NO
Hoy no estudio nada.,HOY YO NADA ESTUDIAR NO
Ayer no salí de casa.,AYER YO CASA SALIR NO
Mañana no viajo a Sevilla.,MAÑANA YO SEVILLA VIAJAR NO
El miércoles no estudio.,MIÉRCOLES YO ESTUDIAR NO
Cada domingo no cocino.,CADA DOMINGO YO COCINAR NO
Hoy no leo cuentos.,HOY YO CUENTOS LEER NO
Ayer no visité a mis abuelos.,AYER YO ABUELOS MÍOS VISITAR NO
Mañana no canto en el coro.,MAÑANA YO CORO CANTAR NO
El viernes no ordeno.,VIERNES YO ORDENAR NO
Hoy no preparo té.,HOY YO TÉ PREPARAR NO
Ayer no llovió en la ciudad.,AYER CIUDAD LLOVER NO
Mañana no hago ejercicio.,MAÑANA YO EJERCICIO HACER NO
Cada sábado no salgo.,CADA SÁBADO YO SALIR NO
Hoy no escribo nada.,HOY YO NADA ESCRIBIR NO
Ayer no estudié historia.,AYER YO HISTORIA ESTUDIAR NO
Mañana no limpio la cocina.,MAÑANA YO COCINA LIMPIAR NO
El miércoles no trabajo.,MIÉRCOLES YO TRABAJAR NO
Hoy no desayuno pan.,HOY YO PAN DESAYUNAR NO
Ayer no vi televisión.,AYER YO TELEVISIÓN VER NO
Mañana no estudio inglés.,MAÑANA YO INGLÉS ESTUDIAR NO
Cada noche no leo cuentos.,CADA NOCHE YO CUENTOS LEER NO
Hoy no cocino pasta.,HOY YO PASTA COCINAR NO
Ayer no escribí correos.,PASADO AYER YO CORREOS ESCRIBIR NO
Mañana no trabajo desde casa.,MAÑANA YO CASA TRABAJAR NO
El domingo no viajo.,DOMINGO YO VIAJAR NO
Cada semana no salgo.,CADA SEMANA YO SALIR NO
Hoy no estudio física.,HOY YO FÍSICA ESTUDIAR NO
Ayer no dormí mucho.,PASADO AYER YO MUCHO DORMIR NO
Mañana no preparo el informe.,MAÑANA YO INFORME PREPARAR NO
El viernes no trabajo.,VIERNES YO TRABAJAR NO
Hoy no desayuno nada.,HOY YO NADA DESAYUNAR NO
Ayer no cociné arroz.,PASADO AYER YO ARROZ COCINAR NO
Mañana no limpio el coche.,MAÑANA YO COCHE LIMPIAR NO
El sábado no salgo.,SÁBADO YO SALIR NO
Cada día no leo prensa.,CADA DÍA YO PRENSA LEER NO
Hoy no hago deporte.,HOY YO DEPORTE HACER NO
Ayer no cociné nada.,PASADO AYER YO NADA COCINAR NO
No trabajé el fin de semana.,PASADO FIN SEMANA YO TRABAJAR NO
Ella no estudió para el examen.,PASADO ELLA EXAMEN ESTUDIAR NO
Nosotros no fuimos al cine.,PASADO NOSOTROS CINE IR NO
Tú no limpiaste el baño.,PASADO TÚ BAÑO LIMPIAR NO
Ellos no viajaron a Granada.,PASADO ELLOS GRANADA VIAJAR NO
Mi padre no arregló el coche.,PASADO MI PADRE COCHE ARREGLAR NO
El tren no llegó a tiempo.,PASADO TREN TIEMPO LLEGAR NO
Yo no dormí bien anoche.,PASADO ANOCHE YO BIEN DORMIR NO
Ella no leyó el libro.,PASADO ELLA LIBRO LEER NO
"Nos levantamos, pero no desayunamos.",PASADO NOSOTROS LEVANTAR PERO DESAYUNAR NO
Ellos no vinieron a clase.,PASADO ELLOS CLASE VENIR NO
Mi madre no preparó sopa.,PASADO MI MADRE SOPA PREPARAR NO
Tú no ayudaste en casa.,PASADO TÚ CASA AYUDAR NO
Yo no escribí el correo.,PASADO YO CORREO ESCRIBIR NO
Ella no cantó en el evento.,PASADO ELLA EVENTO CANTAR NO
Ellos no cocinaron.,PASADO ELLOS COCINAR NO
Nosotros no visitamos a los abuelos.,PASADO NOSOTROS ABUELOS VISITAR NO
Mi abuela no horneó pan.,PASADO MI ABUELA PAN HORNEAR NO
El perro no ladró.,PASADO PERRO LADRAR NO
Yo no cociné.,PASADO YO COCINAR NO
Ella no llamó a su amiga.,PASADO ELLA AMIGA LLAMAR NO
Ellos no estudiaron juntos.,PASADO ELLOS JUNTOS ESTUDIAR NO
Nosotros no salimos.,PASADO NOSOTROS SALIR NO
Tú no fuiste al supermercado.,PASADO TÚ SUPERMERCADO IR NO
Mi padre no trabajó el lunes.,PASADO LUNES MI PADRE TRABAJAR NO
Ella no comió postre.,PASADO ELLA POSTRE COMER NO
Yo no estudié historia.,PASADO YO HISTORIA ESTUDIAR NO
Ellos no llegaron temprano.,PASADO ELLOS TEMPRANO LLEGAR NO
Nosotros no dormimos bien.,PASADO NOSOTROS BIEN DORMIR NO
El tren no paró.,PASADO TREN PARAR NO
Tú no limpiaste la cocina.,PASADO TÚ COCINA LIMPIAR NO
Ella no vio la película.,PASADO ELLA PELÍCULA VER NO
Yo no cociné nada.,PASADO YO NADA COCINAR NO
Ellos no desayunaron.,PASADO ELLOS DESAYUNAR NO
Nosotros no caminamos.,NOSOTROS CAMINAR NO
Mi madre no preparó café.,PASADO MI MADRE CAFÉ PREPARAR NO
El perro no jugó.,PASADO PERRO JUGAR NO
Tú no estudiaste mucho.,PASADO TÚ MUCHO ESTUDIAR NO
Ella no escribió.,PASADO ELLA ESCRIBIR NO
Yo no hablé con nadie.,PASADO YO NADIE HABLAR NO
Ellos no practicaron deporte.,PASADO ELLOS DEPORTE PRACTICAR NO
Nosotros no comimos pan.,PASADO NOSOTROS PAN COMER NO
El gato no durmió.,PASADO GATO DORMIR NO
Tú no ayudaste.,PASADO TÚ AYUDAR NO
Ella no bailó.,PASADO ELLA BAILAR NO
Yo no leí.,PASADO YO LEER NO
Mañana no trabajaré.,MAÑANA YO TRABAJAR NO
Ella no cocinará arroz.,FUTURO ELLA ARROZ COCINAR NO
Nosotros no viajaremos.,FUTURO NOSOTROS VIAJAR NO
Tú no estudiarás hoy.,HOY TÚ ESTUDIAR NO
Ellos no vendrán mañana.,MAÑANA ELLOS VENIR NO
Mi padre no arreglará la puerta.,FUTURO MI PADRE PUERTA ARREGLAR NO
Yo no escribiré correos.,FUTURO YO CORREOS ESCRIBIR NO
El tren no saldrá temprano.,FUTURO TREN TEMPRANO SALIR NO
Ella no cantará en el coro.,FUTURO ELLA CORO CANTAR NO
"Nos encontraremos, pero no hablaremos.",FUTURO NOSOTROS ENCONTRAR PERO NOSOTROS HABLAR NO
Tú no limpiarás la casa.,FUTURO TÚ CASA LIMPIAR NO
Ellos no cocinarán juntos.,FUTURO ELLOS JUNTOS COCINAR NO
Yo no leeré el libro.,FUTURO YO LIBRO LEER NO
Mi madre no preparará sopa.,FUTURO MI MADRE SOPA PREPARAR NO
Mañana no habrá clase.,MAÑANA CLASE NO HAY
Ella no bailará en el teatro.,FUTURO ELLA TEATRO BAILAR NO
"Nos veremos, pero no almorzaremos.",FUTURO NOSOTROS VER PERO NOSOTROS ALMORZAR NO
Tú no estudiarás inglés.,FUTURO TÚ INGLÉS ESTUDIAR NO
Ellos no llegarán tarde.,FUTURO ELLOS TARDE LLEGAR NO
Yo no cocinaré pasta.,FUTURO YO PASTA COCINAR NO
Mi padre no trabajará ese día.,FUTURO MI PADRE DÍA ESE TRABAJAR NO
Ella no leerá novelas.,FUTURO ELLA NOVELAS LEER NO
"Nos reiremos, pero no mucho.",FUTURO NOSOTROS REÍR PERO NOSOTROS MUCHO NO
Mañana no lloverá.,MAÑANA LLOVER NO
Tú no saldrás de casa.,FUTURO TÚ CASA SALIR NO
Ellos no viajarán lejos.,FUTURO ELLOS LEJOS VIAJAR NO
Yo no estudiaré biología.,FUTURO YO BIOLOGÍA ESTUDIAR NO
Ella no cocinará postres.,FUTURO ELLA POSTRES COCINAR NO
Nosotros no iremos al cine.,FUTURO NOSOTROS CINE IR NO
Tú no limpiarás el coche.,FUTURO TÚ COCHE LIMPIAR NO
Ellos no desayunarán aquí.,FUTURO ELLOS AQUÍ DESAYUNAR NO
Yo no dormiré temprano.,FUTURO YO TEMPRANO DORMIR NO
Mi madre no cocinará arroz.,FUTURO MI MADRE ARROZ COCINAR NO
Ella no preparará café.,FUTURO ELLA CAFÉ PREPARAR NO
Nosotros no hablaremos mucho.,FUTURO NOSOTROS MUCHO HABLAR NO
Tú no correrás mañana.,MAÑANA TÚ CORRER NO
Ellos no comerán pan.,FUTURO ELLOS PAN COMER NO
Yo no leeré nada.,FUTURO YO NADA LEER NO
Ella no visitará a su familia.,FUTURO ELLA FAMILIA VISITAR NO
Nosotros no cocinaremos.,FUTURO NOSOTROS COCINAR NO
Tú no escribirás correos.,FUTURO TÚ CORREO ESCRIBIR NO
Ellos no llegarán pronto.,FUTURO ELLOS PRONTO LLEGAR NO
Yo no prepararé nada.,FUTURO YO NADA PREPARAR NO
Ella no estudiará.,FUTURO ELLA ESTUDIAR NO
Nosotros no viajaremos a Valencia.,FUTURO NOSOTROS VALENCIA VIAJAR NO
Tú no ayudarás.,FUTURO TÚ AYUDAR NO
Ellos no trabajarán el sábado.,FUTURO SÁBADO ELLOS TRABAJAR NO
Yo no estudio los fines de semana.,FINES SEMANA YO ESTUDIAR NO
Tú no cocinas carne.,TÚ CARNE COCINAR NO
Ella no duerme bien últimamente.,ÚLTIMAMENTE ELLA BIEN DORMIR NO
Nosotros no comemos fuera.,NOSOTROS FUERA COMER NO
Ellos no viven en el centro.,ELLOS CENTRO VIVIR NO
Mi madre no trabaja los martes.,MARTES MADRE MÍA TRABAJAR NO
El perro no ladra mucho.,PERRO LADRAR MUCHO NO
El tren no llega puntual.,TREN PUNTUAL LLEGAR NO
Yo no leo novelas de terror.,YO NOVELA TERROR LEER NO
Tú no miras televisión.,TÚ TELEVISIÓN MIRAR NO
Ella no desayuna pan.,ELLA PAN DESAYUNAR NO
"Nos levantamos, pero no salimos.",NOSOTROS LEVANTAR PERO SALIR NO
Ellos no usan abrigo.,ELLOS ABRIGO USAR NO
Mi padre no fuma.,PADRE MÍO FUMAR NO
El gato no bebe agua fría.,GATO AGUA FRÍA BEBER NO
Tú no ayudas a tu hermana.,TÚ HERMANA AYUDAR NO
Yo no corro por las mañanas.,MAÑANAS YO CORRER NO
Ella no sonríe hoy.,HOY ELLA SONREÍR NO
Ellos no hablan con nadie.,ELLOS NADIE HABLAR NO
Nosotros no vamos al gimnasio.,NOSOTROS GIMNASIO IR NO
El coche no arranca rápido.,COCHE RÁPIDO ARRANCAR NO
Tú no escuchas música clásica.,TÚ MÚSICA CLÁSICA ESCUCHAR NO
Yo no escribo correos largos.,YO CORREO LARGO ESCRIBIR NO
Ella no cocina pasta.,ELLA PASTA COCINAR NO
Ellos no estudian física.,ELLOS FÍSICA ESTUDIAR NO
Nosotros no compramos dulces.,NOSOTROS DULCE COMPRAR NO
Mi madre no usa gafas.,MADRE MÍA GAFAS USAR NO
El viento no sopla fuerte.,VIENTO FUERTE SOPLAR NO
Tú no caminas deprisa.,TÚ DEPRISA CAMINAR NO
Yo no tengo sueño.,YO SUEÑO HAY NO
Ella no juega al fútbol.,ELLA FÚTBOL JUGAR NO
Ellos no entienden la broma.,ELLOS BROMA ENTENDER NO
Nosotros no dormimos la siesta.,NOSOTROS SIESTA DORMIR NO
El tren no pasa por aquí.,TREN AQUÍ PASAR NO
Tú no vienes temprano.,TÚ TEMPRANO VENIR NO
Yo no trabajo los lunes.,LUNES YO TRABAJAR NO
Ella no lee poesía.,ELLA POESÍA LEER NO
Ellos no usan uniforme.,ELLOS UNIFORME USAR NO
Nosotros no comemos pan.,NOSOTROS PAN COMER NO
Mi padre no conduce rápido.,PADRE MÍO RÁPIDO CONDUCIR NO
Tú no limpias el coche.,TÚ COCHE LIMPIAR NO
Yo no cocino con sal.,YO COCINAR SAL NO
Ella no bebe refrescos.,ELLA BEBER REFRESCOS NO
Ellos no ven películas románticas.,ELLOS VER PELÍCULAS ROMÁNTICAS NO
Nosotros no estudiamos juntos.,NOSOTROS ESTUDIAR JUNTOS NO
El gato no sube al tejado.,TEJADO GATO SUBIR NO
Tú no hablas con tus vecinos.,TÚ HABLAR VECINOS TUS NO
Yo no miro el reloj.,YO MIRAR RELOJ NO
Ella no canta en público.,ELLA CANTAR PÚBLICO NO
Ellos no estudian geografía.,ELLOS ESTUDIAR GEOGRAFÍA NO
Nosotros no vamos a la playa.,NOSOTROS IR PLAYA NO
Mi madre no compra dulces.,MI MADRE COMPRAR DULCES NO
El perro no duerme dentro.,PERRO DORMIR DENTRO NO
Tú no trabajas los jueves.,JUEVES TÚ TRABAJAR NO
Yo no leo el periódico.,YO LEER PERIÓDICO NO
Ella no prepara la cena.,ELLA PREPARAR CENA NO
Ellos no salen mucho.,ELLOS SALIR MUCHO NO
Nosotros no limpiamos el baño.,NOSOTROS LIMPIAR BAÑO NO
El viento no sopla hoy.,HOY VIENTO SOPLAR NO
Tú no cocinas sopa.,TÚ COCINAR SOPA NO
Yo no escribo cartas.,YO ESCRIBIR CARTAS NO
Ella no trabaja en Sevilla.,ELLA TRABAJAR SEVILLA NO
Ellos no desayunan temprano.,ELLOS DESAYUNAR TEMPRANO NO
Nosotros no caminamos mucho.,NOSOTROS CAMINAR MUCHO NO
Mi padre no escucha música.,MI PADRE ESCUCHAR MÚSICA NO
Tú no estudias francés.,TÚ ESTUDIAR FRANCÉS NO
Yo no preparo té.,YO PREPARAR TÉ NO
Ella no ve televisión.,ELLA VER TELEVISIÓN NO
Ellos no usan paraguas.,ELLOS USAR PARAGUAS NO
Nosotros no vivimos cerca.,NOSOTROS VIVIR CERCA NO
El tren no llega a las ocho.,TREN LLEGAR OCHO NO
Tú no ayudas a tu hermano.,TÚ AYUDAR HERMANO TU NO
Yo no limpio el escritorio.,YO LIMPIAR ESCRITORIO NO
Ella no toca el piano.,ELLA TOCAR PIANO NO
Ellos no cocinan juntos.,ELLOS COCINAR JUNTOS NO
Nosotros no reímos mucho.,NOSOTROS REÍR MUCHO NO
Mi madre no plancha ropa.,MI MADRE PLANCHAR ROPA NO
El perro no muerde.,PERRO MORDER NO
Tú no lees cómics.,TÚ LEER CÓMICS NO
Yo no escucho la radio.,YO ESCUCHAR RADIO NO
Ella no estudia medicina.,ELLA ESTUDIAR MEDICINA NO
Ellos no llegan tarde.,ELLOS LLEGAR TARDE NO
Nosotros no hablamos inglés.,NOSOTROS HABLAR INGLÉS NO
Mi padre no trabaja los sábados.,SÁBADOS MI PADRE TRABAJAR NO
Tú no cocinas arroz.,TÚ COCINAR ARROZ NO
Yo no leo cuentos.,YO LEER CUENTOS NO
Ella no enseña los viernes.,VIERNES ELLA ENSEÑAR NO
Ellos no viven aquí.,ELLOS VIVIR AQUÍ NO
Nosotros no tenemos coche.,NOSOTROS COCHE NO HAY
El gato no juega hoy.,HOY GATO JUGAR NO
Tú no dibujas flores.,TÚ DIBUJAR FLORES NO
Yo no preparo café.,YO CAFÉ PREPARAR NO
Ella no canta bien.,ELLA BIEN CANTAR NO
Ellos no entienden italiano.,ELLOS ITALIANO ENTENDER NO
Nosotros no comemos carne.,NOSOTROS CARNE COMER NO
El tren no pasa por el túnel.,TREN TÚNEL PASAR NO
Tú no viajas mucho.,TÚ MUCHO VIAJAR NO
Yo no escribo poesía.,YO POESÍA ESCRIBIR NO
Ella no corre.,ELLA CORRER NO
Ellos no limpian la cocina.,ELLOS COCINA LIMPIAR NO
Nosotros no abrimos los domingos.,NOSOTROS DOMINGOS ABRIR NO
Mi padre no compra frutas.,MI PADRE FRUTAS COMPRAR NO
El perro no duerme adentro.,PERRO ADENTRO DORMIR NO
Tú no ves televisión.,TÚ TELEVISIÓN VER NO
Yo no estudio inglés.,YO INGLÉS ESTUDIAR NO
Ella no cocina bien.,ELLA BIEN COCINAR NO
Ellos no viven cerca.,ELLOS CERCA VIVIR NO
Nosotros no estudiamos hoy.,HOY NOSOTROS ESTUDIAR NO
Mi madre no mira noticias.,MI MADRE NOTICIAS MIRAR NO
El gato no come pescado.,GATO PESCADO COMER NO
Tú no ayudas en la cocina.,TÚ COCINA AYUDAR NO
Yo no leo libros largos.,YO LIBROS LARGOS LEER NO
Ella no camina sola.,ELLA SOLA CAMINAR NO
Ellos no van al colegio.,ELLOS COLEGIO IR NO
Nosotros no usamos paraguas.,NOSOTROS PARAGUAS USAR NO
Mi padre no come pan.,MI PADRE PAN COMER NO
El tren no llega temprano.,TREN TEMPRANO LLEGAR NO
Tú no hablas mucho.,TÚ MUCHO HABLAR NO
Yo no preparo postres.,YO POSTRES PREPARAR NO
Ella no enseña matemáticas.,ELLA MATEMÁTICAS ENSEÑAR NO
Ellos no corren rápido.,ELLOS RÁPIDO CORRER NO
Nosotros no dormimos bien.,NOSOTROS BIEN DORMIR NO
El perro no juega afuera.,PERRO AFUERA JUGAR NO
Tú no conduces por la noche.,TÚ NOCHE CONDUCIR NO
Yo no miro televisión.,YO TELEVISIÓN MIRAR NO
Ella no canta en casa.,ELLA CASA CANTAR NO
Ellos no leen revistas.,ELLOS REVISTAS LEER NO
Hoy no estudio nada.,HOY YO NADA ESTUDIAR NO
Ayer no cociné sopa.,PASADO AYER YO SOPA COCINAR NO
Mañana no trabajo.,FUTURO MAÑANA YO TRABAJAR NO
El lunes no tengo clase.,FUTURO LUNES YO CLASE HAY NO
Esta semana no voy al gimnasio.,FUTURO ESTA SEMANA YO GIMNASIO IR NO
Cada domingo no abro la tienda.,CADA DOMINGO YO TIENDA ABRIR NO
Hoy no cocino arroz.,HOY YO ARROZ COCINAR NO
Ayer no vi a Ana.,PASADO AYER YO ANA VER NO
Mañana no lavo el coche.,FUTURO MAÑANA YO COCHE LAVAR NO
El martes no salgo.,FUTURO MARTES YO SALIR NO
Hoy no leo el periódico.,HOY YO PERIÓDICO LEER NO
Ayer no comí pan.,PASADO AYER YO PAN COMER NO
Mañana no estudio inglés.,FUTURO MAÑANA YO INGLÉS ESTUDIAR NO
El jueves no trabajo.,FUTURO JUEVES YO TRABAJAR NO
Cada tarde no tomo café.,CADA TARDE YO CAFÉ TOMAR NO
Hoy no hace calor.,HOY CALOR NO HAY
Ayer no cociné nada.,PASADO AYER YO NADA COCINAR NO
Mañana no voy al mercado.,FUTURO MAÑANA YO MERCADO IR NO
El viernes no estudio.,VIERNES YO ESTUDIAR NO
Cada noche no veo televisión.,CADA NOCHE YO TELEVISIÓN VER NO
Hoy no desayuno.,HOY YO DESAYUNAR NO
Ayer no dormí bien.,PASADO AYER YO BIEN DORMIR NO
Mañana no limpio la casa.,FUTURO MAÑANA YO CASA LIMPIAR NO
El sábado no viajo.,SÁBADO YO VIAJAR NO
Cada día no uso transporte.,CADA DÍA YO TRANSPORTE USAR NO
Hoy no escribo cartas.,HOY YO CARTAS ESCRIBIR NO
Ayer no estudié nada.,PASADO AYER YO NADA ESTUDIAR NO
Mañana no preparo la cena.,FUTURO MAÑANA YO CENA PREPARAR NO
El domingo no abrimos.,DOMINGO NOSOTROS ABRIR NO
Cada mañana no desayuno pan.,CADA MAÑANA YO PAN DESAYUNAR NO
Hoy no arreglo la lámpara.,HOY YO LÁMPARA ARREGLAR NO
Ayer no descansé.,PASADO AYER YO DESCANSAR NO
Mañana no hago deporte.,FUTURO MAÑANA YO DEPORTE HACER NO
El miércoles no tengo reunión.,MIÉRCOLES YO REUNIÓN NO HAY
Cada sábado no paseo.,CADA SÁBADO YO PASEAR NO
Hoy no cocino sopa.,HOY YO SOPA COCINAR NO
Ayer no salí.,PASADO AYER YO SALIR NO
Mañana no estudio física.,FUTURO MAÑANA YO FÍSICA ESTUDIAR NO
El jueves no trabajamos.,JUEVES NOSOTROS TRABAJAR NO
Cada noche no leo novelas.,CADA NOCHE YO NOVELAS LEER NO
Hoy no escribo correos.,HOY YO CORREOS ESCRIBIR NO
Ayer no estudié química.,PASADO AYER YO QUÍMICA ESTUDIAR NO
Mañana no limpio el baño.,FUTURO MAÑANA YO BAÑO LIMPIAR NO
El martes no trabajo.,MARTES YO TRABAJAR NO
Cada mañana no desayuno fruta.,CADA MAÑANA YO FRUTA DESAYUNAR NO
Hoy no veo películas.,HOY YO PELÍCULAS VER NO
Ayer no fui al cine.,PASADO AYER YO CINE IR NO
Mañana no leo poesía.,FUTURO MAÑANA YO POESÍA LEER NO
El domingo no como fuera.,DOMINGO YO FUERA COMER NO
Esta noche no ceno.,ESTA NOCHE YO CENAR NO
Hoy no preparo comida.,HOY YO COMIDA PREPARAR NO
Ayer no hice deporte.,PASADO AYER YO DEPORTE HACER NO
Mañana no cocino postres.,FUTURO MAÑANA YO POSTRES COCINAR NO
El viernes no conduzco.,VIERNES YO CONDUCIR NO
Cada tarde no paseo.,CADA TARDE YO PASEAR NO
Hoy no estudio nada.,HOY YO NADA ESTUDIAR NO
Ayer no salí de casa.,PASADO AYER YO CASA SALIR NO
Mañana no viajo.,FUTURO MAÑANA YO VIAJAR NO
El miércoles no estudio.,MIÉRCOLES YO ESTUDIAR NO
Cada domingo no cocino.,CADA DOMINGO YO COCINAR NO
Hoy no leo cuentos.,HOY YO CUENTOS LEER NO
Ayer no visité a mi madre.,PASADO AYER YO MADRE MÍA VISITAR NO
Mañana no canto en el coro.,FUTURO MAÑANA YO CORO CANTAR NO
